epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,252.24,0.8422,0.57558,0.79342,0.99546,0.97445,0.98638,0.71537,1.02001,1.08396,0.7886,0.000815815,0.000815815,0.000815815
40,258.347,0.81035,0.5607,0.78662,0.99546,0.97445,0.98638,0.71537,1.02001,1.08396,0.7886,0.000817452,0.000817452,0.000817452
41,264.568,0.90385,0.57307,0.79277,0.99434,0.97595,0.99415,0.74111,0.93085,1.0627,0.78374,0.0008181,0.0008181,0.0008181
42,271.247,0.91714,0.57695,0.79329,0.99322,0.97701,0.99401,0.8061,0.77233,1.03829,0.77855,0.000817758,0.000817758,0.000817758
43,278.023,0.84857,0.56343,0.7849,0.99322,0.97701,0.99401,0.8061,0.77233,1.03829,0.77855,0.000816425,0.000816425,0.000816425
44,285.011,0.89966,0.58871,0.79631,0.99436,0.98003,0.99437,0.81777,0.75689,1.00174,0.78066,0.000814102,0.000814102,0.000814102
45,291.84,0.91016,0.56884,0.79001,0.99436,0.98003,0.99437,0.81777,0.75689,1.00174,0.78066,0.00081079,0.00081079,0.00081079
46,298.718,0.87708,0.55149,0.79243,0.99736,0.98111,0.99469,0.77519,0.89608,0.97805,0.78946,0.000806487,0.000806487,0.000806487
47,305.761,0.86146,0.54598,0.78741,0.99736,0.98111,0.99469,0.77519,0.89608,0.97805,0.78946,0.000801195,0.000801195,0.000801195
48,312.728,0.97025,0.57004,0.78963,0.99563,0.98222,0.9947,0.80323,0.80687,0.90828,0.7885,0.000794913,0.000794913,0.000794913
49,319.621,0.9159,0.5531,0.79104,0.99563,0.98222,0.9947,0.80323,0.80687,0.90828,0.7885,0.00078764,0.00078764,0.00078764
50,326.461,0.88167,0.54573,0.79891,0.99514,0.98444,0.99472,0.84072,0.68208,0.85099,0.78,0.000779377,0.000779377,0.000779377
51,333.431,0.92007,0.54329,0.7923,0.99514,0.98444,0.99472,0.84072,0.68208,0.85099,0.78,0.0007625,0.0007625,0.0007625
52,340.333,0.89482,0.53465,0.78347,0.99605,0.98556,0.9948,0.83903,0.6727,0.78783,0.77873,0.00073775,0.00073775,0.00073775
53,347.276,0.94445,0.55278,0.7812,0.99605,0.98556,0.9948,0.83903,0.6727,0.78783,0.77873,0.000713,0.000713,0.000713
54,354.215,0.81638,0.51963,0.79096,0.99775,0.98733,0.99489,0.83179,0.70362,0.72973,0.77877,0.00068825,0.00068825,0.00068825
55,361.082,0.8747,0.52007,0.79088,0.99775,0.98733,0.99489,0.83179,0.70362,0.72973,0.77877,0.0006635,0.0006635,0.0006635
56,368.021,0.81453,0.52516,0.78791,0.99664,0.9876,0.99489,0.78913,0.82264,0.73301,0.78096,0.00063875,0.00063875,0.00063875
57,375.031,0.85736,0.51534,0.78526,0.99664,0.9876,0.99489,0.78913,0.82264,0.73301,0.78096,0.000614,0.000614,0.000614
58,381.988,0.84855,0.51299,0.78316,0.99746,0.98778,0.99491,0.78304,0.87056,0.69756,0.78484,0.00058925,0.00058925,0.00058925
59,388.707,0.79574,0.49916,0.78421,0.99746,0.98778,0.99491,0.78304,0.87056,0.69756,0.78484,0.0005645,0.0005645,0.0005645
60,395.89,0.89809,0.53725,0.79095,0.99624,0.98667,0.99474,0.79806,0.80219,0.64567,0.78813,0.00053975,0.00053975,0.00053975
61,402.821,0.82289,0.50576,0.79048,0.99624,0.98667,0.99474,0.79806,0.80219,0.64567,0.78813,0.000515,0.000515,0.000515
62,409.994,0.85928,0.52069,0.79294,0.99663,0.98666,0.99479,0.86014,0.60015,0.61219,0.78331,0.00049025,0.00049025,0.00049025
63,416.746,0.81672,0.49618,0.78955,0.99663,0.98666,0.99479,0.86014,0.60015,0.61219,0.78331,0.0004655,0.0004655,0.0004655
64,423.653,0.74517,0.48641,0.78875,0.99663,0.98638,0.99481,0.87077,0.56087,0.57777,0.78354,0.00044075,0.00044075,0.00044075
65,430.349,0.73836,0.48236,0.79205,0.99663,0.98638,0.99481,0.87077,0.56087,0.57777,0.78354,0.000416,0.000416,0.000416
66,437.304,0.76739,0.48471,0.7871,0.99663,0.98612,0.99477,0.82848,0.70343,0.55878,0.78387,0.00039125,0.00039125,0.00039125
67,444.08,0.73688,0.48042,0.78099,0.99663,0.98612,0.99477,0.82848,0.70343,0.55878,0.78387,0.0003665,0.0003665,0.0003665
68,451.015,0.8535,0.50775,0.79442,0.99715,0.98667,0.99486,0.84038,0.6728,0.54345,0.78282,0.00034175,0.00034175,0.00034175
69,457.996,0.64371,0.46473,0.7726,0.99715,0.98667,0.99486,0.84038,0.6728,0.54345,0.78282,0.000317,0.000317,0.000317
70,465.19,0.72843,0.47143,0.78012,0.99731,0.98667,0.99489,0.81592,0.75206,0.54844,0.7839,0.00029225,0.00029225,0.00029225
71,471.699,0.83643,0.60641,0.77957,0.99731,0.98667,0.99489,0.81592,0.75206,0.54844,0.7839,0.0002675,0.0002675,0.0002675
72,478.354,0.7941,0.5587,0.78421,0.99775,0.98691,0.99489,0.80176,0.79682,0.53473,0.78461,0.00024275,0.00024275,0.00024275
73,484.727,0.70289,0.51735,0.78092,0.99775,0.98691,0.99489,0.80176,0.79682,0.53473,0.78461,0.000218,0.000218,0.000218
74,491.265,0.73913,0.56949,0.7718,0.99664,0.98793,0.99492,0.81135,0.76994,0.51089,0.78515,0.00019325,0.00019325,0.00019325
75,497.916,0.70214,0.55819,0.78072,0.99664,0.98793,0.99492,0.81135,0.76994,0.51089,0.78515,0.0001685,0.0001685,0.0001685
76,504.535,0.62865,0.52675,0.78462,0.99888,0.9876,0.99492,0.82766,0.72336,0.49376,0.78466,0.00014375,0.00014375,0.00014375
77,511.18,0.62212,0.49512,0.7722,0.99888,0.9876,0.99492,0.82766,0.72336,0.49376,0.78466,0.000119,0.000119,0.000119
78,517.799,0.62049,0.48246,0.77531,0.99887,0.98778,0.99491,0.84891,0.65486,0.47688,0.78326,9.425e-05,9.425e-05,9.425e-05
79,524.38,0.65889,0.49149,0.77531,0.99887,0.98778,0.99491,0.84891,0.65486,0.47688,0.78326,6.95e-05,6.95e-05,6.95e-05
80,530.94,0.57844,0.47639,0.78041,0.99758,0.98778,0.99489,0.85689,0.62093,0.4637,0.78238,4.475e-05,4.475e-05,4.475e-05
