epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.0588,2.37976,3.84642,0.96628,0.00022,0.00222,0.00011,1e-05,2.14199,3.76378,0.89511,2e-05,2e-05,2e-05
2,13.7944,2.20363,3.77253,0.94877,0.00067,0.00667,0.00034,0.00012,1.74252,3.73773,0.85758,5.92575e-05,5.92575e-05,5.92575e-05
3,20.571,1.62283,3.55386,0.87896,0.00522,0.05222,0.00291,0.00082,1.55066,3.70586,0.83172,9.7525e-05,9.7525e-05,9.7525e-05
4,28.5444,1.86219,3.2336,0.87348,0.01533,0.15333,0.01285,0.00421,1.70289,3.64822,0.82786,0.000134803,0.000134803,0.000134803
5,35.272,1.81921,2.70089,0.85584,0.03622,0.36222,0.04619,0.01804,1.5384,3.53657,0.8166,0.00017109,0.00017109,0.00017109
6,41.6628,1.49168,1.92772,0.83414,0.06256,0.62556,0.10374,0.04089,1.25702,3.39186,0.79989,0.000206388,0.000206388,0.000206388
7,48.0824,1.32769,1.2997,0.82003,0.07778,0.77778,0.19854,0.08281,1.28766,3.2002,0.79862,0.000240695,0.000240695,0.000240695
8,54.55,1.64566,1.11546,0.82469,0.08378,0.83778,0.38022,0.13289,1.2443,3.03337,0.79179,0.000274012,0.000274012,0.000274012
9,60.8136,1.33494,0.91094,0.81326,0.09122,0.91222,0.44652,0.18218,1.21421,2.90978,0.79199,0.00030634,0.00030634,0.00030634
10,67.2261,1.35144,0.91553,0.80709,0.09444,0.94444,0.51769,0.24476,1.30393,2.76174,0.79858,0.000337677,0.000337677,0.000337677
11,73.5619,1.19468,0.86038,0.80018,0.09611,0.96111,0.54915,0.24313,1.47516,2.66878,0.79927,0.000368025,0.000368025,0.000368025
12,79.9029,1.40022,0.97669,0.79927,0.09811,0.98111,0.56803,0.25758,1.48609,2.57526,0.79902,0.000397383,0.000397383,0.000397383
13,86.3847,1.45162,0.96064,0.80618,0.09844,0.98444,0.63109,0.3164,1.36334,2.48502,0.79355,0.00042575,0.00042575,0.00042575
14,92.7749,1.12699,0.87076,0.79016,0.09867,0.98667,0.68367,0.39851,1.14317,2.40735,0.78142,0.000453128,0.000453128,0.000453128
15,99.1886,1.17613,0.82917,0.80293,0.09856,0.98556,0.79317,0.51671,1.07757,2.31453,0.77657,0.000479515,0.000479515,0.000479515
16,105.711,1.31815,0.82818,0.79897,0.099,0.99,0.87807,0.58727,1.10932,2.22447,0.78011,0.000504913,0.000504913,0.000504913
17,112.081,1.13048,0.8298,0.78897,0.09889,0.98889,0.92372,0.63299,1.15082,2.14875,0.78529,0.00052932,0.00052932,0.00052932
18,118.411,1.11985,0.76997,0.78326,0.17821,0.98556,0.94632,0.60453,1.28252,2.07901,0.80089,0.000552738,0.000552738,0.000552738
19,124.807,1.26161,0.76747,0.79658,0.18819,0.98333,0.9618,0.64708,1.23336,2.04373,0.80265,0.000575165,0.000575165,0.000575165
20,131.119,0.98082,0.69585,0.79216,0.20089,0.98444,0.97515,0.6888,1.07746,2.00801,0.79837,0.000596603,0.000596603,0.000596603
21,137.557,1.01026,0.70695,0.78782,0.78455,0.97507,0.97893,0.72465,0.9477,1.97721,0.78532,0.00061705,0.00061705,0.00061705
22,144.067,1.06995,0.70743,0.79487,0.94324,0.94778,0.9794,0.74982,0.90422,1.90127,0.7825,0.000636507,0.000636507,0.000636507
23,150.5,1.00578,0.6977,0.79845,0.989,0.89917,0.97765,0.71156,0.98383,1.85449,0.78016,0.000654975,0.000654975,0.000654975
24,156.902,1.08412,0.70047,0.79759,0.99073,0.831,0.9741,0.64408,1.19865,1.78267,0.79095,0.000672452,0.000672452,0.000672452
25,163.28,0.93746,0.66546,0.79346,0.99264,0.74931,0.97627,0.63753,1.23026,1.70866,0.79825,0.00068894,0.00068894,0.00068894
26,169.855,1.0113,0.64683,0.79455,0.99855,0.76597,0.98424,0.7508,0.87184,1.65025,0.78606,0.000704437,0.000704437,0.000704437
27,176.288,0.91668,0.64308,0.79025,0.99733,0.83163,0.98438,0.72914,0.89677,1.54711,0.78628,0.000718945,0.000718945,0.000718945
28,182.618,0.96833,0.61071,0.79329,0.99733,0.83163,0.98438,0.72914,0.89677,1.54711,0.78628,0.000732463,0.000732463,0.000732463
29,188.978,0.99316,0.6361,0.78182,0.98295,0.89689,0.98333,0.70303,0.95815,1.45073,0.78625,0.00074499,0.00074499,0.00074499
30,195.242,1.09624,0.64304,0.79627,0.96194,0.92662,0.98598,0.64898,1.12592,1.41557,0.78583,0.000756527,0.000756527,0.000756527
31,201.596,1.05778,0.63534,0.79193,0.96194,0.92662,0.98598,0.64898,1.12592,1.41557,0.78583,0.000767075,0.000767075,0.000767075
32,207.929,1.06916,0.63649,0.79639,0.95475,0.93776,0.98171,0.63733,1.16605,1.33512,0.78813,0.000776633,0.000776633,0.000776633
33,214.12,1.02132,0.63128,0.79296,0.97614,0.9544,0.98047,0.71866,0.94343,1.22231,0.78728,0.0007852,0.0007852,0.0007852
34,220.508,0.96048,0.61138,0.79435,0.97614,0.9544,0.98047,0.71866,0.94343,1.22231,0.78728,0.000792777,0.000792777,0.000792777
35,226.82,0.89393,0.5794,0.78851,0.99425,0.96033,0.98637,0.79351,0.7795,1.15868,0.78467,0.000799365,0.000799365,0.000799365
36,233.239,0.87833,0.58211,0.79432,0.98524,0.96425,0.98567,0.79346,0.82999,1.11052,0.7866,0.000804962,0.000804962,0.000804962
37,239.68,0.9832,0.61528,0.78563,0.98524,0.96425,0.98567,0.79346,0.82999,1.11052,0.7866,0.00080957,0.00080957,0.00080957
38,245.968,0.87518,0.58041,0.78495,0.97555,0.96556,0.98532,0.76022,0.94257,1.07268,0.78868,0.000813187,0.000813187,0.000813187
